Name,Path,Position,"Is Active","Url Key",Description,Image,"Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Default Category",1,1,Yes,,,,,,,Yes,"Products only",,No,,,"No layout updates",
CATEGORIES,"Default Category",1,Yes,categories,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DECOR & FURNISHING","Default Category/CATEGORIES",1,Yes,decor-&-furnishing,,,,,,Yes,"Products only",,No,,,"No layout updates",
"HOME ACCESSORIES","Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,home-accessories,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BIRD CAGES","Default Category/CATEGORIES/DECOR & FURNISHING/HOME ACCESSORIES",1,Yes,bird-cages,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BIRDS OF PARADISE root",1,1,Yes,,,,,,,Yes,"Products only",,No,,,"No layout updates",
CATEGORIES,"BIRDS OF PARADISE root",1,Yes,categories,,,,,,Yes,"Products only",,No,,,"No layout updates",
"TEA LIGHT HOLDERS","BIRDS OF PARADISE root/CATEGORIES",1,Yes,tea-light-holders,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CANDLES & VASES","Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,candles-&-vases,,,,,,Yes,"Products only",,No,,,"No layout updates",
"TEA LIGHT HOLDERS","Default Category/CATEGORIES/DECOR & FURNISHING/CANDLES & VASES",1,Yes,tea-light-holders,,,,,,Yes,"Products only",,No,,,"No layout updates",
"WALL HOOKS","Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,wall-hooks,,,,,,Yes,"Products only",,No,,,"No layout updates",
HOOKS,"BIRDS OF PARADISE root/CATEGORIES",1,Yes,hooks,,,,,,Yes,"Products only",,No,,,"No layout updates",
"GARDENS + OUTDOORS","Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,gardens-+-outdoors,,,,,,Yes,"Products only",,No,,,"No layout updates",
PLANTERS,"Default Category/CATEGORIES/DECOR & FURNISHING/GARDENS + OUTDOORS",1,Yes,planters,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BUCKETS & PLANTERS","BIRDS OF PARADISE root/CATEGORIES",1,Yes,buckets-&-planters,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CAGE PILLAR HOLDERS","BIRDS OF PARADISE root/CATEGORIES",1,Yes,cage-pillar-holders,,,,,,Yes,"Products only",,No,,,"No layout updates",
"PILLAR HOLDERS","Default Category/CATEGORIES/DECOR & FURNISHING/CANDLES & VASES",1,Yes,pillar-holders,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CANDLE STANDS","BIRDS OF PARADISE root/CATEGORIES",1,Yes,candle-stands,,,,,,Yes,"Products only",,No,,,"No layout updates",
"STORAGE & ORGANIZERS","Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,storage-&-organizers,,,,,,Yes,"Products only",,No,,,"No layout updates",
"MAGAZINE HOLDERS & BASKETS","Default Category/CATEGORIES/DECOR & FURNISHING/STORAGE & ORGANIZERS",1,Yes,magazine-holders-&-baskets,,,,,,Yes,"Products only",,No,,,"No layout updates",
"MAGAZINE STANDS","BIRDS OF PARADISE root/CATEGORIES",1,Yes,magazine-stands,,,,,,Yes,"Products only",,No,,,"No layout updates",
LIGHTING,"Default Category/CATEGORIES",1,Yes,lighting,,,,,,Yes,"Products only",,No,,,"No layout updates",
LANTERN,"Default Category/CATEGORIES/LIGHTING",1,Yes,lantern,,,,,,Yes,"Products only",,No,,,"No layout updates",
"LAMPS & LANTERNS","BIRDS OF PARADISE root/CATEGORIES",1,Yes,lamps-&-lanterns,,,,,,Yes,"Products only",,No,,,"No layout updates",
DINING,"Default Category/CATEGORIES",1,Yes,dining,,,,,,Yes,"Products only",,No,,,"No layout updates",
DRINKWARE,"Default Category/CATEGORIES/DINING",1,Yes,drinkware,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BAR ACCESSORIES","Default Category/CATEGORIES/DINING/DRINKWARE",1,Yes,bar-accessories,,,,,,Yes,"Products only",,No,,,"No layout updates",
"WINE RACKS","BIRDS OF PARADISE root/CATEGORIES",1,Yes,wine-racks,,,,,,Yes,"Products only",,No,,,"No layout updates",
"STORAGE & JEWELLERY BOXES","Default Category/CATEGORIES/DECOR & FURNISHING/STORAGE & ORGANIZERS",1,Yes,storage-&-jewellery-boxes,,,,,,Yes,"Products only",,No,,,"No layout updates",
BOXES,"BIRDS OF PARADISE root/CATEGORIES",1,Yes,boxes,,,,,,Yes,"Products only",,No,,,"No layout updates",
"MIRRORS & MIRROR FRAMES","Default Category/CATEGORIES/DECOR & FURNISHING/HOME ACCESSORIES",1,Yes,mirrors-&-mirror-frames,,,,,,Yes,"Products only",,No,,,"No layout updates",
MIRRORS,"BIRDS OF PARADISE root/CATEGORIES",1,Yes,mirrors,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DECORATIVE TRAYS & PLATTERS","Default Category/CATEGORIES/DECOR & FURNISHING/HOME ACCESSORIES",1,Yes,decorative-trays-&-platters,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DECORATIVE PLATES","BIRDS OF PARADISE root/CATEGORIES",1,Yes,decorative-plates,,,,,,Yes,"Products only",,No,,,"No layout updates",
ART,"Default Category/CATEGORIES",1,Yes,art,,,,,,Yes,"Products only",,No,,,"No layout updates",
DRAWING,"Default Category/CATEGORIES/ART",1,Yes,drawing,,,,,,Yes,"Products only",,No,,,"No layout updates",
FIGURATIVE,"Default Category/CATEGORIES/ART/DRAWING",1,Yes,figurative,,,,,,Yes,"Products only",,No,,,"No layout updates",
"GALERIE ART ETERNE root",1,1,Yes,,,,,,,Yes,"Products only",,No,,,"No layout updates",
CATEGORIES,"GALERIE ART ETERNE root",1,Yes,categories,,,,,,Yes,"Products only",,No,,,"No layout updates",
DRAWING,"GALERIE ART ETERNE root/CATEGORIES",1,Yes,drawing,,,,,,Yes,"Products only",,No,,,"No layout updates",
PAINTING,"Default Category/CATEGORIES/ART",1,Yes,painting,,,,,,Yes,"Products only",,No,,,"No layout updates",
ABSTRACT,"Default Category/CATEGORIES/ART/PAINTING",1,Yes,abstract,,,,,,Yes,"Products only",,No,,,"No layout updates",
PAINTING,"GALERIE ART ETERNE root/CATEGORIES",1,Yes,painting,,,,,,Yes,"Products only",,No,,,"No layout updates",
PRINT,"Default Category/CATEGORIES/ART",1,Yes,print,,,,,,Yes,"Products only",,No,,,"No layout updates",
"ETCHING PRINT","Default Category/CATEGORIES/ART/PRINT",1,Yes,etching-print,,,,,,Yes,"Products only",,No,,,"No layout updates",
"LIMITED EDITION PRINT","GALERIE ART ETERNE root/CATEGORIES",1,Yes,limited-edition-print,,,,,,Yes,"Products only",,No,,,"No layout updates",
"SERIGRAPH PRINT","Default Category/CATEGORIES/ART/PRINT",1,Yes,serigraph-print,,,,,,Yes,"Products only",,No,,,"No layout updates",
LANDSCAPE,"Default Category/CATEGORIES/ART/DRAWING",1,Yes,landscape,,,,,,Yes,"Products only",,No,,,"No layout updates",
CUSHIONS,"Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,cushions,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CUSHIONS WITH INSERT","Default Category/CATEGORIES/DECOR & FURNISHING/CUSHIONS",1,Yes,cushions-with-insert,,,,,,Yes,"Products only",,No,,,"No layout updates",
"INFONAUTS root",1,1,Yes,,,,,,,Yes,"Products only",,No,,,"No layout updates",
CATEGORIES,"INFONAUTS root",1,Yes,categories,,,,,,Yes,"Products only",,No,,,"No layout updates",
CUSHIONS,"INFONAUTS root/CATEGORIES",1,Yes,cushions,,,,,,Yes,"Products only",,No,,,"No layout updates",
HOOKS,"INFONAUTS root/CATEGORIES",1,Yes,hooks,,,,,,Yes,"Products only",,No,,,"No layout updates",
